Timestamp,Mode,"During the experiment, I felt... [Confident]","During the experiment, I felt... [Creative]","During the experiment, I felt... [Confused]","During the experiment, I felt... [Guided towards a good solution]","During the experiment, I felt... [Productive]","During the experiment, I felt... [Slowed down]","I found the tool...
 [Easy-to-use]","I found the tool...
 [Good fit for the purpose]","I found the tool...
 [Intuitive]","I found the tool...
 [Slow]","I found the tool...
 [Visually appealing]",I found the recommendations.... [Complete],I found the recommendations.... [Confusing],I found the recommendations.... [Correct],I found the recommendations.... [Credible],I found the recommendations.... [Inconsistent],I found the recommendations.... [Intuitive],I found the recommendations.... [Stimulating (they gave me ideas I did not have)],I found the recommendations.... [Useful],I found the recommendations.... [Well-timed (they appeared right when I expected them)],"During the experiment, I felt... [Confident]","During the experiment, I felt... [Creative]","During the experiment, I felt... [Confused]","During the experiment, I felt... [Guided towards a good solution]","During the experiment, I felt... [Productive]","During the experiment, I felt... [Slowed down]","I found the tool...
 [Easy-to-use]","I found the tool...
 [Good fit for the purpose]","I found the tool...
 [Intuitive]","I found the tool...
 [Slow]","I found the tool...
 [Visually appealing]",I found the recommendations.... [Complete],I found the recommendations.... [Confusing],I found the recommendations.... [Correct],I found the recommendations.... [Credible],I found the recommendations.... [Inconsistent],I found the recommendations.... [Intuitive],I found the recommendations.... [Useful],"During the experiment, I felt... [Confident]","During the experiment, I felt... [Creative]","During the experiment, I felt... [Confused]","During the experiment, I felt... [Guided towards a good solution]","During the experiment, I felt... [Productive]","During the experiment, I felt... [Slowed down]",I found the recommendations.... [Complete],I found the recommendations.... [Confusing],I found the recommendations.... [Correct],I found the recommendations.... [Credible],I found the recommendations.... [Inconsistent],I found the recommendations.... [Intuitive],I found the recommendations.... [Stimulating (they gave me ideas I didn't have)],I found the recommendations.... [Useful],I found the recommendations.... [Well-timed (they appeared right when I expected them)],"I found the tool...
 [Easy-to-use]","I found the tool...
 [Good fit for the purpose]","I found the tool...
 [Intuitive]","I found the tool...
 [Slow]","I found the tool...
 [Visually appealing]","Which features would you improve, and how?",What features did you miss?,Do you have any other remarks?,UserID
5/1/2023 14:14:25,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,4,2,5,2,4,4,2,5,4,4,5,5,5,5,1,4,Readibility for associations,Recommending attributes,None,
5/1/2023 16:08:00,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,1,3,2,4,3,2,4,5,4,5,4,4,4,2,3,,Add attribute suggestions even if it was me who created the class,,
5/2/2023 14:23:53,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,3,2,3,2,3,3,1,2,4,4,3,3,3,3,3,3,"Association recommendation should give better names, and less recommemdations",There should be a decline button,Very useful and helpful tool,
5/3/2023 9:57:56,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,3,2,2,2,2,2,1,3,1,3,2,4,4,4,1,4,Relation between classes as it suggest all possible association/composition ,Attributes suggestion,,
5/3/2023 11:41:59,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,4,4,1,4,2,4,4,1,2,4,4,3,5,4,4,1,4,Association suggestions could be improved ,Missing attributes suggesting ,"I really liked how the association arrow flips, the suggestions are simulating ",
5/3/2023 15:02:24,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,3,3,1,4,1,2,3,1,3,3,3,3,4,4,4,1,3,"In terms of classes recommandations, the naming of some classes did not fit in well with the theme. However, for a recommended class with a score of 2, the generated attributes were suitable for the context. ",It would be interesting to have recommendations for attributes as well in the automatic mode ,,
5/5/2023 11:01:44,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,3,4,1,3,1,3,4,1,3,2,3,3,3,3,3,2,3,Selecring associations is difficult since i needed to scroll to reach the accept button. Also I ran into a network-related problem during my experiment.,"I think conceptually, the suggestions are good, but in certajn cases, there were suggested classes that I would put as attributes instead. This is a design decision, of course, but maybe you can specify that the tool is meant to design models with more classes and attributes (?).",No,
5/5/2023 13:44:12,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,4,3,4,3,4,4,2,4,4,4,4,2,4,4,3,3,"When recommendations increase, it’s difficult to choose from them. Perhaps filtering some out? Also, I can’t navigate through the recommendations, can’t sort or search which slows me down",,,
5/5/2023 15:23:52,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,4,3,1,3,2,3,3,4,3,4,2,2,4,4,3,1,2,Better UX feedback (e.g. double clicking to let a user know he's typing),Inferring the association cardinality ,,
5/5/2023 17:25:56,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,4,2,1,2,2,2,3,4,4,4,4,5,4,4,1,5,"to have more accurate results, it is better to have the model prepare all the classes rather than suggesting classes that depend on the presence of prevous classes ",,no,
